prediction_id,ts_utc,exec_ts,api_url,status_code,latency_ms,prediction,error,model_version_loaded,model_uri_api,api_tracking_uri,age,monthly_income,debt_to_income_ratio,transactions_per_month,complaints_last_6m
3f6b1f35-9888-4ad4-9788-a155777b7bd1,2025-08-29T02:40:27.435925+00:00,2025-08-29 02:39:00,http://fastapi:8000,500,18.1,,"{""detail"":""Prediction failed""}",unknown,models:/customers_models@Production,http://mlflow:5000,75,11674.0,0.864,22,1
9296b75c-12d1-459b-a90e-5c2ad0501311,2025-08-29T02:40:33.458077+00:00,2025-08-29 02:39:00,http://fastapi:8000,500,15.7,,"{""detail"":""Prediction failed""}",unknown,models:/customers_models@Production,http://mlflow:5000,37,8021.0,0.473,85,3
2743dad5-d68c-4d12-b902-5b11450a222d,2025-08-29T02:40:39.478115+00:00,2025-08-29 02:39:00,http://fastapi:8000,500,21.76,,"{""detail"":""Prediction failed""}",unknown,models:/customers_models@Production,http://mlflow:5000,27,14922.0,0.837,81,0
57984698-d659-468a-a4e7-656ad4847dca,2025-08-29T02:40:45.500257+00:00,2025-08-29 02:39:00,http://fastapi:8000,500,15.85,,"{""detail"":""Prediction failed""}",unknown,models:/customers_models@Production,http://mlflow:5000,66,7260.0,0.506,54,3
e2c65ab1-5c85-4492-9fe0-1430136f8364,2025-08-29T02:40:51.524378+00:00,2025-08-29 02:39:00,http://fastapi:8000,500,17.84,,"{""detail"":""Prediction failed""}",unknown,models:/customers_models@Production,http://mlflow:5000,50,9684.0,0.134,21,7
5dad52a5-bd0d-40d7-b304-a39f5796f9db,2025-08-29T02:40:57.556518+00:00,2025-08-29 02:39:00,http://fastapi:8000,500,30.03,,"{""detail"":""Prediction failed""}",unknown,models:/customers_models@Production,http://mlflow:5000,62,20246.0,0.866,72,7
f91c3ede-84f1-4ad7-8779-27a495ddd26f,2025-08-29T02:41:03.580215+00:00,2025-08-29 02:39:00,http://fastapi:8000,500,17.33,,"{""detail"":""Prediction failed""}",unknown,models:/customers_models@Production,http://mlflow:5000,61,22468.0,0.368,61,7
219ee34c-ab5c-4bbd-85d0-fabec68fefa6,2025-08-29T02:41:09.612379+00:00,2025-08-29 02:39:00,http://fastapi:8000,500,28.51,,"{""detail"":""Prediction failed""}",unknown,models:/customers_models@Production,http://mlflow:5000,20,13928.0,0.43,77,7
209980bf-3635-4ddc-a4bb-c9290bd0ecd2,2025-08-29T02:41:15.639099+00:00,2025-08-29 02:39:00,http://fastapi:8000,500,20.4,,"{""detail"":""Prediction failed""}",unknown,models:/customers_models@Production,http://mlflow:5000,44,12510.0,0.695,17,1
6731708a-3df3-4ba9-9720-40e3a0758338,2025-08-29T02:41:21.660013+00:00,2025-08-29 02:39:00,http://fastapi:8000,500,14.48,,"{""detail"":""Prediction failed""}",unknown,models:/customers_models@Production,http://mlflow:5000,80,14407.0,0.574,79,4
