prediction_id,ts_utc,exec_ts,api_url,status_code,latency_ms,prediction,error,model_version_loaded,model_uri_api,api_tracking_uri,age,monthly_income,debt_to_income_ratio,transactions_per_month,complaints_last_6m
8319ab63-48b2-45a7-b144-0299f8e7345a,2025-08-29T02:35:04.797454+00:00,2025-08-29 02:34:00,http://fastapi:8000,500,17.76,,"{""detail"":""Prediction failed""}",unknown,models:/customers_models@Production,http://mlflow:5000,59,15396.0,0.198,73,1
dbd9bda1-adf9-4ba2-9ed6-f92cffadb850,2025-08-29T02:35:10.816667+00:00,2025-08-29 02:34:00,http://fastapi:8000,500,15.37,,"{""detail"":""Prediction failed""}",unknown,models:/customers_models@Production,http://mlflow:5000,18,13051.0,0.492,16,4
8af35ee5-a5f8-4fd3-bcaa-35e85ffeae45,2025-08-29T02:35:16.838016+00:00,2025-08-29 02:34:00,http://fastapi:8000,500,14.97,,"{""detail"":""Prediction failed""}",unknown,models:/customers_models@Production,http://mlflow:5000,69,24600.0,0.219,82,0
dac931d6-dae0-40d6-bc80-4bad9389a255,2025-08-29T02:35:22.859088+00:00,2025-08-29 02:34:00,http://fastapi:8000,500,14.72,,"{""detail"":""Prediction failed""}",unknown,models:/customers_models@Production,http://mlflow:5000,38,24351.0,0.523,49,6
c1c18237-c126-4422-a316-9eb787f3b73e,2025-08-29T02:35:28.880220+00:00,2025-08-29 02:34:00,http://fastapi:8000,500,14.82,,"{""detail"":""Prediction failed""}",unknown,models:/customers_models@Production,http://mlflow:5000,75,17313.0,0.814,110,7
1070eab1-3e71-40df-b785-5c4cf30b8887,2025-08-29T02:35:34.905419+00:00,2025-08-29 02:34:00,http://fastapi:8000,500,18.76,,"{""detail"":""Prediction failed""}",unknown,models:/customers_models@Production,http://mlflow:5000,44,13767.0,0.884,108,0
f6bc9b43-c7d9-4db1-a945-4ca02ab9e911,2025-08-29T02:35:40.904228+00:00,2025-08-29 02:34:00,http://fastapi:8000,500,13.21,,"{""detail"":""Prediction failed""}",unknown,models:/customers_models@Production,http://mlflow:5000,57,6504.0,0.529,94,7
15b7325d-c80f-47bb-b91e-bbfeb4791201,2025-08-29T02:35:46.927689+00:00,2025-08-29 02:34:00,http://fastapi:8000,500,17.15,,"{""detail"":""Prediction failed""}",unknown,models:/customers_models@Production,http://mlflow:5000,79,18425.0,0.698,115,0
ebf21ae0-1302-45b6-af5c-67f0a56b3550,2025-08-29T02:35:52.950229+00:00,2025-08-29 02:34:00,http://fastapi:8000,500,16.14,,"{""detail"":""Prediction failed""}",unknown,models:/customers_models@Production,http://mlflow:5000,57,10304.0,0.425,82,2
ca42aa74-4a6b-4a46-a73a-f71880719029,2025-08-29T02:35:58.973505+00:00,2025-08-29 02:34:00,http://fastapi:8000,500,16.98,,"{""detail"":""Prediction failed""}",unknown,models:/customers_models@Production,http://mlflow:5000,22,10963.0,0.276,58,1
